Issue ID,Summary,Issue Type,Priority,Story Points,Epic Name,Labels,Linked Issues,Description
TB-001,Criar views vw_dash para KPIs e graficos V1,Story,High,8,Dashboard,"dashboard,data,sql",None,"Criar views agregadas por tenant com filtros por periodo, medico, canal e modalidade."
TB-002,Implementar endpoints agregados de dashboard com cache,Story,High,8,Dashboard,"dashboard,backend,api",TB-001,"Endpoints com filtros globais e cache para widgets pesados."
TB-003,Construir tela dashboard gestor V1,Story,High,8,Dashboard,"dashboard,frontend,ui",TB-002,"Implementar filtros globais, KPIs e graficos prioritarios com drill-down."
TB-004,Modelar consultas de agenda por medico dia semana,Story,Highest,8,Agenda,"agenda,data,sql",None,"Consultas de calendario com indices para leitura rapida."
TB-005,Integrar RPCs de agendamento e status no backend,Story,Highest,8,Agenda,"agenda,backend,rpc",TB-004,"Expor fluxo de criar confirmar e alterar status com regras de transicao."
TB-006,Implementar tela agenda com drawer operacional,Story,Highest,8,Agenda,"agenda,frontend,ui",TB-005,"Calendario por medico com acoes de atendimento e teleconsulta."
TB-007,Criar visao de funil CRM com SLA de lead,Story,High,5,Kanban CRM,"crm,data,sql",None,"Visao por etapa, canal e tempo medio de resposta."
TB-008,APIs de movimentacao de etapa e conversao lead paciente,Story,High,8,Kanban CRM,"crm,backend,api",TB-007,"Persistir mudanca de etapa e conversao com auditoria."
TB-009,Implementar board kanban CRM com drag and drop,Story,High,8,Kanban CRM,"crm,frontend,ui",TB-008,"Cards com score, ultima interacao e proxima acao."
TB-010,Otimizar busca e deduplicacao de pacientes,Story,High,5,Pacientes,"patients,data,sql",None,"Busca por nome telefone documento e regra de duplicidade por tenant."
TB-011,APIs de cadastro merge e timeline de paciente,Story,High,8,Pacientes,"patients,backend,api",TB-010,"CRUD completo com timeline e merge controlado."
TB-012,Implementar tela pacientes com filtros e drawer,Story,High,8,Pacientes,"patients,frontend,ui",TB-011,"Lista com filtros avancados, detalhe e acoes rapidas."
TB-013,Estruturar fila de mensagens com idempotencia,Story,High,8,Mensagens,"messages,data,events",None,"Fila e estados de entrega com retry e idempotencia."
TB-014,Servico omnichannel com fallback de canal,Story,High,8,Mensagens,"messages,backend,integrations",TB-013,"Envio WhatsApp e email com fallback e telemetria."
TB-015,Implementar inbox de mensagens e templates,Story,High,8,Mensagens,"messages,frontend,ui",TB-014,"Timeline por paciente e operacao de envios/falhas."
TB-016,Ajustar entidades de equipe e vinculo profile doctor,Story,Medium,5,Equipe,"team,data,sql",None,"Modelagem para convite, status e vinculo medico usuario."
TB-017,APIs de convite ativacao e capacidade operacional,Story,Medium,5,Equipe,"team,backend,api",TB-016,"Fluxo de equipe com controle por tenant e role."
TB-018,Implementar tela equipe com filtros por role,Story,Medium,5,Equipe,"team,frontend,ui",TB-017,"Tabela de equipe e painel de detalhe operacional."
TB-019,Consolidar matriz de permissao por recurso e role,Story,Highest,8,Acesso RBAC,"rbac,data,security",None,"Estrutura canonica de permissoes alinhada ao backend."
TB-020,Endpoints admin para roles politicas e sessao,Story,Highest,8,Acesso RBAC,"rbac,backend,security",TB-019,"Troca de role revogacao de sessao e auditoria."
TB-021,Implementar tela de acesso RBAC e auditoria,Story,High,8,Acesso RBAC,"rbac,frontend,ui",TB-020,"Matriz visual, usuarios e logs de acesso."
TB-022,Criar views de relatorios operacionais e comerciais,Story,High,8,Relatorios,"reports,data,sql",TB-001,"Views de comparecimento no-show ocupacao e conversao."
TB-023,Endpoints de relatorios com exportacao,Story,High,5,Relatorios,"reports,backend,api",TB-022,"APIs para consulta e exportacao CSV PDF."
TB-024,Implementar tela relatorios com drill down,Story,High,8,Relatorios,"reports,frontend,ui",TB-023,"Grade de graficos com filtro global e tabela detalhada."
TB-025,Modelar receita prevista realizada e inadimplencia,Story,High,8,Financeiro,"financial,data,sql",None,"Estrutura e calculos financeiros por tenant."
TB-026,APIs de fechamento ajustes e recebimento,Story,High,5,Financeiro,"financial,backend,api",TB-025,"Fluxos de reconciliacao financeira e ajustes auditados."
TB-027,Implementar tela financeiro V1,Story,High,8,Financeiro,"financial,frontend,ui",TB-026,"KPIs e tabela de previsao versus realizado."
TB-028,Parametrizar regras de agenda LGPD e templates,Story,Medium,5,Configuracoes,"settings,data,sql",None,"Parametros versionados por tenant."
TB-029,Endpoints de configuracao versionada por tenant,Story,Medium,5,Configuracoes,"settings,backend,api",TB-028,"Salvar e recuperar configuracoes com historico."
TB-030,Implementar tela configuracoes por secao,Story,Medium,5,Configuracoes,"settings,frontend,ui",TB-029,"Formularios por modulo com validacao inline."
TB-031,Criar design system V1 compartilhado,Task,High,8,Cross,"cross,frontend,design-system",None,"Componentes base de filtros cards tabelas drawer e estados."
TB-032,Instrumentar telemetria de uso por widget e tela,Task,Medium,5,Cross,"cross,backend,analytics",None,"Eventos de uso para medir adocao e utilidade."
TB-033,Adicionar auditoria de exportacoes e acoes sensiveis,Task,High,5,Cross,"cross,data,audit",None,"Logs de quem executou quando e com quais filtros."
TB-034,Suite e2e de fluxos criticos operacionais,Task,High,8,Cross,"cross,qa,e2e","TB-006;TB-009;TB-015","Cobrir agenda CRM mensagens e cenarios de erro."
TB-035,Testes de permissao por role e tenant,Task,Highest,8,Cross,"cross,qa,security",TB-021,"Garantir bloqueio de acesso indevido em UI API e banco."
TB-036,Teste de performance inicial dashboard e agenda,Task,Medium,5,Cross,"cross,qa,performance","TB-003;TB-006","Medir latencia carga inicial e consultas mais pesadas."
