id,sprint,card_title,type,priority,story_points,dependencies,labels,definition_of_done
BK-001,SPRINT_1_FOUNDATION_SECURITY,Apply migration 010 in staging and validate hardening,Task,Highest,5,None,"sprint1,security,supabase","Migration applied, smoke checks green, rollback script documented"
BK-002,SPRINT_1_FOUNDATION_SECURITY,Create automated RLS matrix tests by role,Story,Highest,8,BK-001,"sprint1,security,tests,rls","Tests cover admin, gestor, recepcao, medico and block unauthorized paths"
BK-003,SPRINT_1_FOUNDATION_SECURITY,Implement entitlements schema for Core Growth Premium,Story,Highest,8,None,"sprint1,billing,entitlements,backend","Tables or config exist and each tenant resolves active entitlements"
BK-004,SPRINT_1_FOUNDATION_SECURITY,Enforce feature gates in backend APIs and RPCs,Story,Highest,8,BK-003,"sprint1,backend,entitlements,api","Blocked features return deterministic error and are audited"
BK-005,SPRINT_1_FOUNDATION_SECURITY,Build resilient event processor with retry and DLQ,Epic,Highest,13,BK-001,"sprint1,events,reliability,n8n","Failed events retry with backoff and dead letter queue stores terminal failures"
BK-006,SPRINT_1_FOUNDATION_SECURITY,Standardize idempotency keys across workflows,Task,High,5,BK-005,"sprint1,events,idempotency","Duplicate events do not create duplicated side effects"
BK-007,SPRINT_1_FOUNDATION_SECURITY,Configure dev staging prod with migration pipeline,Story,High,8,None,"sprint1,devops,environments","Same migration set runs in all environments with documented promote flow"
BK-008,SPRINT_1_FOUNDATION_SECURITY,Create CI pipeline for SQL tests and policy regression,Story,High,8,"BK-002;BK-007","sprint1,ci,sql,quality","CI runs migrations and security tests on each pull request"
BK-009,SPRINT_2_PRODUCT_CONVERSION,Build patient portal V1 with secure access links,Story,Highest,8,BK-004,"sprint2,portal,patient,frontend","Patient can open appointment details with secure signed access"
BK-010,SPRINT_2_PRODUCT_CONVERSION,Implement confirm and reschedule APIs plus UI flow,Story,Highest,8,BK-009,"sprint2,appointments,portal,api","Patient confirms or reschedules and status event trail is consistent"
BK-011,SPRINT_2_PRODUCT_CONVERSION,Add teleconsult consent request and capture UI flow,Story,Highest,8,BK-009,"sprint2,teleconsult,consent,lgpd","Consent status transitions are auditable end to end"
BK-012,SPRINT_2_PRODUCT_CONVERSION,Implement D-0 reminder engine with channel fallback,Epic,High,13,"BK-005;BK-010","sprint2,notifications,automation","Reminders send on schedule and fallback channel triggers on provider failure"
BK-013,SPRINT_2_PRODUCT_CONVERSION,Create no-show score v1 and assisted action rules,Story,High,8,BK-012,"sprint2,noshow,ops,analytics","Risk score appears before appointment and action suggestions are logged"
BK-014,SPRINT_2_PRODUCT_CONVERSION,Launch reengagement automations for no-show and inactive,Story,High,8,BK-013,"sprint2,retention,campaigns","Campaign runs idempotently and updates journey status"
BK-015,SPRINT_2_PRODUCT_CONVERSION,Deliver funnel dashboard by acquisition channel,Story,High,8,BK-010,"sprint2,metrics,funnel,bi","Dashboard shows lead to booking to attendance conversion by channel"
BK-016,SPRINT_2_PRODUCT_CONVERSION,Implement LGPD retention jobs for consent and transcripts,Story,Highest,8,BK-011,"sprint2,lgpd,data-retention,compliance","Expired sensitive data is marked and processed per retention policy"
BK-017,SPRINT_3_GO_LIVE_SCALE,Build pilot clinic onboarding playbook and checklist,Story,Highest,8,"BK-010;BK-015","sprint3,onboarding,operations","New clinic can be onboarded in 5 business days with repeatable checklist"
BK-018,SPRINT_3_GO_LIVE_SCALE,Create incident runbooks for OAuth messaging transcription,Story,High,5,BK-005,"sprint3,reliability,runbook,support","Each critical incident has steps owner SLA and escalation path"
BK-019,SPRINT_3_GO_LIVE_SCALE,Add recurring billing and dunning flow baseline,Epic,High,13,BK-003,"sprint3,billing,subscriptions,revenue","Subscription lifecycle works and failed payment triggers dunning stages"
BK-020,SPRINT_3_GO_LIVE_SCALE,Add AI governance logs prompt version and per-visit cost,Story,High,8,BK-016,"sprint3,ai,governance,cost","Each transcript summary stores model prompt version and token cost"
BK-021,SPRINT_3_GO_LIVE_SCALE,Build KPI cockpit for North Star and operations,Story,High,8,BK-015,"sprint3,metrics,executive,dashboard","Weekly cockpit shows attendance no-show forecast and workflow SLA"
BK-022,SPRINT_3_GO_LIVE_SCALE,Execute pilot hardening bug bash and fix criticals,Task,Highest,8,"BK-017;BK-021","sprint3,qa,hardening,pilot","All P0 and P1 bugs found in pilot are fixed or waived with owner and date"
BK-023,SPRINT_3_GO_LIVE_SCALE,Define support N1 process and handoff artifacts,Task,Medium,5,BK-018,"sprint3,support,process","N1 support script triage flow and escalation templates are documented"
BK-024,SPRINT_3_GO_LIVE_SCALE,Run 7-day assisted pilot and close go-live report,Task,Highest,8,"BK-022;BK-023","sprint3,go-live,pilot,report","Pilot runs 7 days without severe blocker and final report approved"
