"Task Name","List Name","Status","Priority","Start Date","Due Date","Tags","Description","Custom Field: Backlog ID","Custom Field: Sprint","Custom Field: Work Type","Custom Field: Story Points","Custom Field: Depends On IDs"
"Apply migration 010 in staging and validate hardening","Sprint 1 - Foundation and Security","to do","urgent","2026-03-03","2026-03-16","sprint1,security,supabase","Migration applied, smoke checks green, rollback script documented","BK-001","SPRINT_1_FOUNDATION_SECURITY","Task","5","None"
"Create automated RLS matrix tests by role","Sprint 1 - Foundation and Security","to do","urgent","2026-03-03","2026-03-16","sprint1,security,tests,rls","Tests cover admin, gestor, recepcao, medico and block unauthorized paths","BK-002","SPRINT_1_FOUNDATION_SECURITY","Story","8","BK-001"
"Implement entitlements schema for Core Growth Premium","Sprint 1 - Foundation and Security","to do","urgent","2026-03-03","2026-03-16","sprint1,billing,entitlements,backend","Tables or config exist and each tenant resolves active entitlements","BK-003","SPRINT_1_FOUNDATION_SECURITY","Story","8","None"
"Enforce feature gates in backend APIs and RPCs","Sprint 1 - Foundation and Security","to do","urgent","2026-03-03","2026-03-16","sprint1,backend,entitlements,api","Blocked features return deterministic error and are audited","BK-004","SPRINT_1_FOUNDATION_SECURITY","Story","8","BK-003"
"Build resilient event processor with retry and DLQ","Sprint 1 - Foundation and Security","to do","urgent","2026-03-03","2026-03-16","sprint1,events,reliability,n8n","Failed events retry with backoff and dead letter queue stores terminal failures","BK-005","SPRINT_1_FOUNDATION_SECURITY","Epic","13","BK-001"
"Standardize idempotency keys across workflows","Sprint 1 - Foundation and Security","to do","high","2026-03-03","2026-03-16","sprint1,events,idempotency","Duplicate events do not create duplicated side effects","BK-006","SPRINT_1_FOUNDATION_SECURITY","Task","5","BK-005"
"Configure dev staging prod with migration pipeline","Sprint 1 - Foundation and Security","to do","high","2026-03-03","2026-03-16","sprint1,devops,environments","Same migration set runs in all environments with documented promote flow","BK-007","SPRINT_1_FOUNDATION_SECURITY","Story","8","None"
"Create CI pipeline for SQL tests and policy regression","Sprint 1 - Foundation and Security","to do","high","2026-03-03","2026-03-16","sprint1,ci,sql,quality","CI runs migrations and security tests on each pull request","BK-008","SPRINT_1_FOUNDATION_SECURITY","Story","8","BK-002;BK-007"
"Build patient portal V1 with secure access links","Sprint 2 - Product and Conversion","to do","urgent","2026-03-17","2026-03-30","sprint2,portal,patient,frontend","Patient can open appointment details with secure signed access","BK-009","SPRINT_2_PRODUCT_CONVERSION","Story","8","BK-004"
"Implement confirm and reschedule APIs plus UI flow","Sprint 2 - Product and Conversion","to do","urgent","2026-03-17","2026-03-30","sprint2,appointments,portal,api","Patient confirms or reschedules and status event trail is consistent","BK-010","SPRINT_2_PRODUCT_CONVERSION","Story","8","BK-009"
