id,Task Name,List Name,Status,Priority,Tags,Story Points,Dependencies,Description,Custom Field: Sprint,Custom Field: Commitment
TB-031,Criar design system V1 compartilhado,Sprint 1 - Core Operacional,to do,high,"cross,frontend,design-system",8,None,"Componentes base para filtros cards tabelas drawers e estados.",Sprint 1,Committed
TB-004,Modelar consultas de agenda por medico dia semana,Sprint 1 - Core Operacional,to do,urgent,"agenda,data,sql",8,None,"Consultas e indices para visao dia semana e lista.",Sprint 1,Committed
TB-005,Integrar RPCs de agendamento e status no backend,Sprint 1 - Core Operacional,to do,urgent,"agenda,backend,rpc",8,TB-004,"Fluxos criar confirmar alterar status com validacao de transicao.",Sprint 1,Committed
TB-006,Implementar tela agenda com drawer operacional,Sprint 1 - Core Operacional,to do,urgent,"agenda,frontend,ui",8,TB-005,"Calendario por medico com acoes operacionais e teleconsulta.",Sprint 1,Committed
TB-010,Otimizar busca e deduplicacao de pacientes,Sprint 1 - Core Operacional,to do,high,"patients,data,sql",5,None,"Busca por nome telefone documento e deduplicacao por tenant.",Sprint 1,Committed
TB-011,APIs de cadastro merge e timeline de paciente,Sprint 1 - Core Operacional,to do,high,"patients,backend,api",8,TB-010,"CRUD de pacientes com timeline e merge controlado.",Sprint 1,Committed
TB-012,Implementar tela pacientes com filtros e drawer,Sprint 1 - Core Operacional,to do,high,"patients,frontend,ui",8,TB-011,"Lista com filtros avancados e painel contextual.",Sprint 1,Committed
TB-019,Consolidar matriz de permissao por recurso e role,Sprint 1 - Core Operacional,to do,urgent,"rbac,data,security",8,None,"Estrutura canonica de permissoes alinhada ao backend.",Sprint 1,Committed
TB-020,Endpoints admin para roles politicas e sessao,Sprint 1 - Core Operacional,to do,urgent,"rbac,backend,security",8,TB-019,"Troca de role revogacao de sessao e auditoria.",Sprint 1,Committed
TB-007,Criar visao de funil CRM com SLA de lead,Sprint 2 - CRM e Mensagens,to do,high,"crm,data,sql",5,None,"Visao por etapa canal e tempo medio de resposta.",Sprint 2,Committed
TB-008,APIs de movimentacao de etapa e conversao lead paciente,Sprint 2 - CRM e Mensagens,to do,high,"crm,backend,api",8,TB-007,"Persistir mudanca de etapa e conversao com auditoria.",Sprint 2,Committed
TB-009,Implementar board kanban CRM com drag and drop,Sprint 2 - CRM e Mensagens,to do,high,"crm,frontend,ui",8,TB-008,"Board com score ultima interacao e proxima acao.",Sprint 2,Committed
TB-013,Estruturar fila de mensagens com idempotencia,Sprint 2 - CRM e Mensagens,to do,high,"messages,data,events",8,None,"Fila de mensagens com retry e estado de entrega.",Sprint 2,Committed
TB-014,Servico omnichannel com fallback de canal,Sprint 2 - CRM e Mensagens,to do,high,"messages,backend,integrations",8,TB-013,"Envio WhatsApp e email com fallback.",Sprint 2,Committed
TB-015,Implementar inbox de mensagens e templates,Sprint 2 - CRM e Mensagens,to do,high,"messages,frontend,ui",8,TB-014,"Inbox operacional com timeline e templates.",Sprint 2,Committed
TB-021,Implementar tela de acesso RBAC e auditoria,Sprint 2 - CRM e Mensagens,to do,high,"rbac,frontend,ui",8,TB-020,"Matriz visual de acesso e logs.",Sprint 2,Committed
TB-035,Testes de permissao por role e tenant,Sprint 2 - CRM e Mensagens,to do,urgent,"cross,qa,security",8,TB-021,"Garantir bloqueio de acesso indevido em UI API e banco.",Sprint 2,Committed
TB-001,Criar views vw_dash para KPIs e graficos V1,Sprint 3 - Gestao e Relatorios,to do,high,"dashboard,data,sql",8,None,"Views agregadas para KPIs e graficos do dashboard.",Sprint 3,Committed
